"","domain","phylum","class","order","family","genus","species","strain"
"GUT_GENOME155439.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Faecalibacterium prausnitzii_J","Faecalibacterium prausnitzii_J"
"GUT_GENOME156010.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Roseburia sp003470905","Roseburia sp003470905"
"GUT_GENOME156244.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Faecalibacterium sp003449675","Faecalibacterium sp003449675"
"GUT_GENOME157759.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes senegalensis","Alistipes senegalensis"
"GUT_GENOME180274.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-83","CAG-83 sp000431575","CAG-83 sp000431575"
"GUT_GENOME181333.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotellamassilia","Prevotellamassilia sp900540885","Prevotellamassilia sp900540885"
"GUT_GENOME196077.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Ruminococcus_E","Ruminococcus_E bromii_B","Ruminococcus_E bromii_B"
"GUT_GENOME235888.fna","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","UBA1242","Unknown_UBA1242","Unknown_UBA1242","UBA1242 unk genus"
"GUT_GENOME239799.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Eisenbergiella","Eisenbergiella sp900066775","Eisenbergiella sp900066775"
"GUT_GENOME245894.fna","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-917","CAG-475","CAG-475 sp900547975","CAG-475 sp900547975"
"GUT_GENOME246739.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira","Lachnospira eligens_B","Lachnospira eligens_B"
"GUT_GENOME248826.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Faecalibacterium prausnitzii_D","Faecalibacterium prausnitzii_D"
"GUT_GENOME251277.fna","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-269","CAG-269 sp001916055","CAG-269 sp001916055"
"GUT_GENOME254154.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","CAG-272","UMGS1815","Unknown_UMGS1815","UMGS1815 sp."
"GUT_GENOME256593.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Angelakisella","Angelakisella sp900547385","Angelakisella sp900547385"
"GUT_GENOME258287.fna","Bacteria","Firmicutes","Bacilli","RF39","CAG-822","CAG-884","Unknown_CAG-884","CAG-884 sp._1"
"GUT_GENOME259135.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-83","CAG-83 sp001916855","CAG-83 sp001916855"
"GUT_GENOME261409.fna","Bacteria","Firmicutes","Bacilli","RF39","CAG-1000","CAG-460","CAG-460 sp900544625","CAG-460 sp900544625"
"GUT_GENOME268622.fna","Bacteria","Firmicutes","Bacilli","RF39","CAG-822","UBA5026","UBA5026 sp900557305","UBA5026 sp900557305"
"GUT_GENOME270564.fna","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp002251385","Prevotella sp002251385"
"GUT_GENOME277265.fna","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","ER4","ER4 sp900552015","ER4 sp900552015"
"GUT_GENOME280550.fna","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Sutterella","Sutterella wadsworthensis_A","Sutterella wadsworthensis_A"
"GUT_GENOME281065.fna","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","UMGS1477","Unknown_UMGS1477","UMGS1477 sp."
"GUT_GENOME281441.fna","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-245","CAG-245 sp000434195","CAG-245 sp000434195"
"GUT_GENOME283914.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","Acetatifactor sp900066565","Acetatifactor sp900066565"
"GUT_GENOME284285.fna","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-194","CAG-194 sp000432915","CAG-194 sp000432915"
"REFINED_METABAT215_SUBJECT_CONTIGS_1500_ASSEMBLY_K77_MERGED__Pilot_MoBio_Fiber_L_20_7018.187.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","UBA3818","UBA3818 sp900557155","UBA3818 sp900557155"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K127_MEGAHIT__Hadza_MoBio_hadza-A-D_C_6_1128.27.fa","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","Zag1","Unknown_Zag1","Zag1 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K127_MEGAHIT__Hadza_MoBio_hadza-A-D_C_6_1128.661.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","UBA1448","Unknown_UBA1448","UBA1448 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_C-REDO_E_12_1563.94.fa","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","UMGS1663","UMGS1663 sp900553405","UMGS1663 sp900553405"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_C-REDO_E_2_1553.108.fa","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","Zag1","Zag1 sp900556295","Zag1 sp900556295"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_C-REDO_F_3_1566.40.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-302","UMGS2068","UMGS2068 sp900557675","UMGS2068 sp900557675"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_C-REDO_G_11_1585.141.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Blautia_A","Unknown_Blautia_A","Blautia_A sp._2"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_B_15_1593.35.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-611","CAG-451","Unknown_CAG-451","CAG-451 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_B_23_1587.30.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-611","UMGS1449","Unknown_UMGS1449","UMGS1449 sp._1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_B_23_1587.36.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-611","UMGS1449","Unknown_UMGS1449","UMGS1449 sp._2"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_B_6_1603.118.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-1000","CAG-460","Unknown_CAG-460","CAG-460 sp._3"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_B_6_1603.125.fa","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","UMGS1663","Unknown_UMGS1663","UMGS1663 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_D_16_1621.346.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-302","Unknown_CAG-302","Unknown_CAG-302_2","CAG-302 unk genus_3"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_D_16_1621.520.fa","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter_D","Campylobacter_D sp900539255","Campylobacter_D sp900539255"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_D_19_1578.9.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-433","CAG-594","CAG-594 sp000434835","CAG-594 sp000434835"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_E_14_1160.199.fa","Bacteria","Elusimicrobiota","Elusimicrobia","Elusimicrobiales","Elusimicrobiaceae","UBA1436","UBA1436 sp900541355","UBA1436 sp900541355"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_E_17_1054.173.fa","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-452","Unknown_CAG-452","CAG-452 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_E_17_1054.249.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","UBA4651","UBA7867","Unknown_UBA7867","UBA7867 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_E_6_1152.108.fa","Bacteria","Firmicutes_A","Clostridia","Monoglobales_A","UBA1381","Unknown_UBA1381","Unknown_UBA1381","UBA1381 unk genus_1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_E_6_1152.83.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","Borkfalkiaceae","UBA10281","UBA10281 sp900548285","UBA10281 sp900548285"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_F_1_1575.90.fa","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-269","CAG-269 sp001915995","CAG-269 sp001915995"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_H_22_1650.76.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-127","Unknown_CAG-127","CAG-127 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_H_24_1651.167.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-1000","CAG-460","CAG-460 sp000437315","CAG-460 sp000437315"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_H_2_1640.240.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-302","Unknown_CAG-302","Unknown_CAG-302_2","CAG-302 unk genus_4"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_H_2_1640.301.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-1000","CAG-605","Unknown_CAG-605","CAG-605 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_J_22_1662.142.fa","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-269","Unknown_CAG-269","CAG-269 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_J_22_1662.170.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-127","Unknown_CAG-127","CAG-127 sp._1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_J_23_1541.147.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","UBA737","UBA737 sp002431945","UBA737 sp002431945"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_K_14_1158.225.fa","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-465","CAG-465","CAG-465 sp000433335","CAG-465 sp000433335"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_K_22_1166.105.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-302","RUG705","Unknown_RUG705","RUG705 sp._1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_K_24_1168.140.fa","Bacteria","Elusimicrobiota","Elusimicrobia","Elusimicrobiales","Elusimicrobiaceae","UBA1436","UBA1436 sp900540405","UBA1436 sp900540405"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_K_6_1150.161.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","CAG-632","CAG-632 sp000431515","CAG-632 sp000431515"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_L_17_1528.66.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","AM51-8","Unknown_AM51-8","AM51-8 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_L_23_1525.225.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-302","Unknown_CAG-302","Unknown_CAG-302_2","CAG-302 unk genus_5"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_L_3_1539.142.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-302","Unknown_CAG-302","Unknown_CAG-302_2","CAG-302 unk genus_6"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_N_5_1522.38.fa","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-269","Unknown_CAG-269","CAG-269 sp._1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-A-D_O_6_1198.29.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-314","CAG-1435","Unknown_CAG-1435","CAG-1435 sp._1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_A_15_1703.68.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Roseburia","Unknown_Roseburia","Roseburia sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_A_2_1814.158.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Unknown_Faecalibacterium","Faecalibacterium sp._7"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_A_4_1815.199.fa","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-269","Unknown_CAG-269","CAG-269 sp._2"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_A_8_1817.153.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-1000","CAG-460","Unknown_CAG-460","CAG-460 sp._4"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_B_2_2152.17.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-433","CAG-433","CAG-433 sp900546245","CAG-433 sp900546245"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_B_2_2152.172.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-611","UMGS1449","Unknown_UMGS1449","UMGS1449 sp._3"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_B_9_1942.272.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-1000","CAG-1000","Unknown_CAG-1000_1","CAG-1000 sp._2"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_C_4_1831.345.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","CAG-557","Unknown_CAG-557","CAG-557 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_C_4_1831.367.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-302","Unknown_CAG-302","Unknown_CAG-302_2","CAG-302 unk genus_7"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_E_14_1852.5.fa","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-245","Unknown_CAG-245","CAG-245 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_E_23_1730.178.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-1000","UMGS1217","Unknown_UMGS1217","UMGS1217 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_F_20_2245.138.fa","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp900553155","Prevotella sp900553155"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_G_21_1740.190.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Mediterraneibacter","Unknown_Mediterraneibacter","Mediterraneibacter sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_G_5_1733.43.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","AM51-8","Unknown_AM51-8","AM51-8 sp._1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_G_7_1734.107.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Ruminococcus_A","Unknown_Ruminococcus_A","Ruminococcus_A sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_J_6_2308.13.fa","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola sp000434735","Phocaeicola sp000434735"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_K_13_1776.327.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","Unknown_Acetatifactor","Acetatifactor sp._2"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_K_17_1778.12.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Oscillospiraceae","CAG-170","Unknown_CAG-170","CAG-170 sp._17"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_M_13_1797.120.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","Unknown_Acutalibacteraceae","Unknown_Acutalibacteraceae","Acutalibacteraceae unk genus_1"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_N_21_2138.188.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Acutalibacteraceae","CAG-964","CAG-964 sp000435335","CAG-964 sp000435335"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_O_16_1933.121.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-1000","UMGS1217","UMGS1217 sp900549625","UMGS1217 sp900549625"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-E-H_P_7_2143.171.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","UBA1242","UMGS1470","UMGS1470 sp900552105","UMGS1470 sp900552105"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_B_17_2661.151.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Unknown_Faecalibacterium","Faecalibacterium sp._8"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_B_20_1162.44.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-1000","CAG-460","Unknown_CAG-460","CAG-460 sp._5"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_B_20_1162.59.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Unknown_Gemmiger","Gemmiger sp._2"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_B_22_1164.125.fa","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","Zag111","Zag111 sp002103105","Zag111 sp002103105"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_D_12_1182.41.fa","Bacteria","Elusimicrobiota","Elusimicrobia","Elusimicrobiales","Elusimicrobiaceae","UBA1436","Unknown_UBA1436","UBA1436 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_D_12_1182.77.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Unknown_Lachnospiraceae","Unknown_Lachnospiraceae","Lachnospiraceae unk genus_5"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_D_23_2656.10.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Hungatella_A","Unknown_Hungatella_A","Hungatella_A sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_F_16_1210.279.fa","Bacteria","Proteobacteria","Alphaproteobacteria","RF32","CAG-239","Unknown_CAG-239","Unknown_CAG-239","CAG-239 unk genus"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_F_16_1210.83.fa","Bacteria","Firmicutes_A","Clostridia_A","Christensenellales","CAG-552","UMGS1795","Unknown_UMGS1795","UMGS1795 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_G_19_2444.98.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Faecalibacterium prausnitzii_A","Faecalibacterium prausnitzii_A"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_I_17_2476.133.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-822","UBA3631","Unknown_UBA3631","UBA3631 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_I_4_2616.188.fa","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Unknown_Prevotella","Prevotella sp._6"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_I_4_2616.40.fa","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp900553595","Prevotella sp900553595"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_K_6_2620.60.fa","Bacteria","Cyanobacteria","Vampirovibrionia","Gastranaerophilales","Gastranaerophilaceae","CAG-484","CAG-484 sp900321895","CAG-484 sp900321895"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_K_9_2483.178.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","UMGS1889","UMGS1889 sp900556055","UMGS1889 sp900556055"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_M_10_2632.271.fa","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Sutterella","Unknown_Sutterella","Sutterella sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_M_1_2491.25.fa","Bacteria","Firmicutes","Bacilli","RF39","UBA5348","CAG-1193","Unknown_CAG-1193","CAG-1193 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_M_5_2492.127.fa","Bacteria","Firmicutes_A","Clostridia","TANB77","CAG-508","CAG-492","Unknown_CAG-492","CAG-492 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_N_24_1344.32.fa","Bacteria","Firmicutes_A","Clostridia","Lachnospirales","Lachnospiraceae","Ruminococcus_A","Ruminococcus_A sp000437095","Ruminococcus_A sp000437095"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_MoBio_hadza-I-L_O_11_2507.263.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","UBA1762","Unknown_UBA1762","UBA1762 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_A_10_1531.126.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-1000","CAG-533","CAG-533 sp900553855","CAG-533 sp900553855"
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_A_14_1640.267.fa","Bacteria","Firmicutes_A","Clostridia","Oscillospirales","Ruminococcaceae","SFJ001","Unknown_SFJ001","SFJ001 sp."
"REFINED_METABAT215_TOP10_CONTIGS_1500_ASSEMBLY_K77_MERGED__Hadza_PheChl_Fiber-Hadza-Nepal_A_14_1640.348.fa","Bacteria","Firmicutes","Bacilli","RF39","CAG-302","Unknown_CAG-302","Unknown_CAG-302_2","CAG-302 unk genus_8"
